project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Lake Arthur - Pan-Ok,United States,operating,,,Pan-Ok Production Company,,,oil and gas,asset,30.134,-92.716,"https://www.gem.wiki/Lake_Arthur_-_Pan-Ok_Oil_and_Gas_Asset_(Louisiana,_United_States)"
"Lake Arthur, South - Hilcorp",United States,operating,,,Hilcorp Energy,,,oil and gas,asset,30.06,-92.66,"https://www.gem.wiki/Lake_Arthur,_South_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Barre - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,29.205,-90.486,"https://www.gem.wiki/Lake_Barre_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Bistineau - Aethon,United States,operating,,,Aethon Energy,,,gas,asset,32.347,-93.262,"https://www.gem.wiki/Lake_Bistineau_-_Aethon_Gas_Asset_(Louisiana,_United_States)"
Lake Bistineau - BPX,United States,operating,,,BPX Operating,,,gas,asset,32.37,-93.313,"https://www.gem.wiki/Lake_Bistineau_-_BPX_Gas_Asset_(Louisiana,_United_States)"
Lake Bistineau - Comstock,United States,operating,,,Comstock Oil & Gas,,,gas,asset,32.372,-93.357,"https://www.gem.wiki/Lake_Bistineau_-_Comstock_Gas_Asset_(Louisiana,_United_States)"
"Lake Charles, South - Kaiser Francis",United States,operating,,,Kaiser-Francis Oil Company,,,oil and gas,asset,30.103,-93.264,"https://www.gem.wiki/Lake_Charles,_South_-_Kaiser_Francis_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Creek (Chase) - Sydri,United States,operating,,,Sydri Operating,,,oil and gas,asset,30.236,-95.638,"https://www.gem.wiki/Lake_Creek_(Chase)_-_Sydri_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lake Ferrell (Pettit, Upper) - Brooks",United States,operating,,,Brooks Petroleum,,,oil,asset,32.808,-94.575,"https://www.gem.wiki/Lake_Ferrell_(Pettit,_Upper)_-_Brooks_Oil_Asset_(Texas,_United_States)"
Lake Hatch - Dimension,United States,operating,,,Dimension Energy,,,oil and gas,asset,29.526,-90.852,"https://www.gem.wiki/Lake_Hatch_-_Dimension_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Hatch - Whiting,United States,operating,,,Whitney Oil & Gas,,,oil and gas,asset,29.539,-90.859,"https://www.gem.wiki/Lake_Hatch_-_Whiting_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Pasture (H-434) - T-C,United States,operating,,,T-C Oil Company,,,oil and gas,asset,28.441,-97.083,"https://www.gem.wiki/Lake_Pasture_(H-434)_-_T-C_Oil_and_Gas_Asset_(Texas,_United_States)"
Lake Pasture (H-440 Sand) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,28.414,-97.07,"https://www.gem.wiki/Lake_Pasture_(H-440_Sand)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Lake Pasture (H-440 Sand) - T-C,United States,operating,,,T-C Oil Company,,,oil and gas,asset,28.417,-97.069,"https://www.gem.wiki/Lake_Pasture_(H-440_Sand)_-_T-C_Oil_and_Gas_Asset_(Texas,_United_States)"
Lake Raccourci - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,29.212,-90.373,"https://www.gem.wiki/Lake_Raccourci_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Ridge - Exxon Mobil,United States,operating,,,Exxon Mobil,,,oil and gas,asset,42.426,-110.47,"https://www.gem.wiki/Lake_Ridge_-_Exxon_Mobil_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Lake Sand - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,29.564,-91.728,"https://www.gem.wiki/Lake_Sand_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
"Lake Trammel, W. (Canyon) - Rover Petroleum",United States,operating,,,Rover Petroleum Operating,,,oil and gas,asset,32.348,-100.45,"https://www.gem.wiki/Lake_Trammel,_W._(Canyon)_-_Rover_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lake Verret, East - Meridian",United States,operating,,,Meridian Resources,,,oil and gas,asset,29.91,-91.126,"https://www.gem.wiki/Lake_Verret,_East_-_Meridian_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lake Washington - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,29.373,-89.791,"https://www.gem.wiki/Lake_Washington_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
"Lansing, N. (Cotton Valley, Lo.) - Amplify",United States,operating,,,Amplify Energy,,,oil and gas,asset,32.563,-94.689,"https://www.gem.wiki/Lansing,_N._(Cotton_Valley,_Lo.)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)"
Lard Ranch (Granite Wash C) - 4P Energy,United States,operating,,,4P Energy,,,oil and gas,asset,35.881,-100.8,"https://www.gem.wiki/Lard_Ranch_(Granite_Wash_C)_-_4P_Energy_Oil_and_Gas_Asset_(Texas,_United_States)"
Lard Ranch (Granite Wash C) - BP,United States,operating,,,BP,,,oil and gas,asset,35.922,-100.89,"https://www.gem.wiki/Lard_Ranch_(Granite_Wash_C)_-_BP_Oil_and_Gas_Asset_(Texas,_United_States)"
Lard Ranch (Granite Wash C) - Polaris,United States,operating,,,Polaris Operating,,,oil and gas,asset,35.93,-100.87,"https://www.gem.wiki/Lard_Ranch_(Granite_Wash_C)_-_Polaris_Oil_and_Gas_Asset_(Texas,_United_States)"
Lard Ranch (Granite Wash C) - Sabine,United States,operating,,,Sabine Oil & Gas Corporation,,,oil and gas,asset,35.891,-101.03,"https://www.gem.wiki/Lard_Ranch_(Granite_Wash_C)_-_Sabine_Oil_and_Gas_Asset_(Texas,_United_States)"
Laredo (Lobo) - Columbus,United States,operating,,,Columbus Energy,,,oil and gas,asset,27.339,-99.439,"https://www.gem.wiki/Laredo_(Lobo)_-_Columbus_Oil_and_Gas_Asset_(Texas,_United_States)"
Laredo (Lobo) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,27.33,-99.388,"https://www.gem.wiki/Laredo_(Lobo)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Las Tiendas (Olmos) - Lewis Petro,United States,operating,,,Lewis Petro Properties,,,oil and gas,asset,27.943,-99.652,"https://www.gem.wiki/Las_Tiendas_(Olmos)_-_Lewis_Petro_Oil_and_Gas_Asset_(Texas,_United_States)"
Las Tiendas (Olmos) - Wagner,United States,operating,,,Wagner Oil Company,,,oil and gas,asset,28.025,-99.728,"https://www.gem.wiki/Las_Tiendas_(Olmos)_-_Wagner_Oil_and_Gas_Asset_(Texas,_United_States)"
Last Chance - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,48.114,-103.54,"https://www.gem.wiki/Last_Chance_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Lawrence County - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,41.062,-80.453,"https://www.gem.wiki/Lawrence_County_-_Hilcorp_Oil_and_Gas_Asset_(Pennsylvania,_United_States)"
Lawson (San Andres) - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,31.881,-102.6,"https://www.gem.wiki/Lawson_(San_Andres)_-_XTO_Oil_and_Gas_Asset_(Texas,_United_States)"
Lea County - Advance Energy Partners,United States,operating,,,Advance Energy Partners,,,oil and gas,asset,32.443,-103.6,"https://www.gem.wiki/Lea_County_-_Advance_Energy_Partners_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Ameredev,United States,operating,,,Ameredev,,,oil and gas,asset,32.047,-103.28,"https://www.gem.wiki/Lea_County_-_Ameredev_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Apache,United States,operating,,,Apache Co.,,,oil and gas,asset,32.518,-103.21,"https://www.gem.wiki/Lea_County_-_Apache_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - BTA,United States,operating,,,BTA Oil Producers,,,oil and gas,asset,32.335,-103.55,"https://www.gem.wiki/Lea_County_-_BTA_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - COG,United States,operating,,,COG Operating,,,oil and gas,asset,32.448,-103.56,"https://www.gem.wiki/Lea_County_-_COG_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - COG Production,United States,operating,,,COG Production,,,oil,asset,32.218,-103.64,"https://www.gem.wiki/Lea_County_-_COG_Production_Oil_Asset_(New_Mexico,_United_States)"
Lea County - Centennial,United States,operating,,,Centennial Resource,,,oil and gas,asset,32.372,-103.45,"https://www.gem.wiki/Lea_County_-_Centennial_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Chevron,United States,operating,,,Chevron,,,oil and gas,asset,32.519,-103.33,"https://www.gem.wiki/Lea_County_-_Chevron_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Chisholm,United States,operating,,,Chisholm Energy,,,oil and gas,asset,32.582,-103.57,"https://www.gem.wiki/Lea_County_-_Chisholm_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Cimarex,United States,operating,,,Cimarex Energy,,,oil,asset,32.389,-103.57,"https://www.gem.wiki/Lea_County_-_Cimarex_Oil_Asset_(New_Mexico,_United_States)"
Lea County - Cimarex (CO),United States,operating,,,Cimarex Energy Co. of Colorado,,,oil and gas,asset,32.499,-103.52,"https://www.gem.wiki/Lea_County_-_Cimarex_(CO)_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - ConocoPhillips,United States,operating,,,ConocoPhillips,,,oil and gas,asset,32.672,-103.45,"https://www.gem.wiki/Lea_County_-_ConocoPhillips_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Devon,United States,operating,,,Devon Energy,,,oil and gas,asset,32.293,-103.57,"https://www.gem.wiki/Lea_County_-_Devon_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - EOG,United States,operating,,,EOG Resources,,,oil and gas,asset,32.288,-103.48,"https://www.gem.wiki/Lea_County_-_EOG_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Kaiser Francis,United States,operating,,,Kaiser-Francis Oil Company,,,oil and gas,asset,32.349,-103.49,"https://www.gem.wiki/Lea_County_-_Kaiser_Francis_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Legacy Reserves,United States,operating,,,Legacy Reserves Operating,,,oil and gas,asset,32.329,-103.21,"https://www.gem.wiki/Lea_County_-_Legacy_Reserves_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Marathon,United States,operating,,,Marathon Oil Company,,,oil and gas,asset,32.406,-103.52,"https://www.gem.wiki/Lea_County_-_Marathon_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Matador,United States,operating,,,Matador Production Company,,,oil and gas,asset,32.557,-103.56,"https://www.gem.wiki/Lea_County_-_Matador_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Mewbourne,United States,operating,,,Mewbourne Oil Co.,,,oil and gas,asset,32.459,-103.58,"https://www.gem.wiki/Lea_County_-_Mewbourne_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - OXY,United States,operating,,,OXY USA,,,oil and gas,asset,32.451,-103.49,"https://www.gem.wiki/Lea_County_-_OXY_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Occidental Permian,United States,operating,,,Occidental Permian,,,oil and gas,asset,32.69,-103.18,"https://www.gem.wiki/Lea_County_-_Occidental_Permian_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Spur,United States,operating,,,Spur Energy Partners,,,oil and gas,asset,32.824,-103.77,"https://www.gem.wiki/Lea_County_-_Spur_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - Tap Rock,United States,operating,,,Tap Rock Operating,,,oil and gas,asset,32.212,-103.56,"https://www.gem.wiki/Lea_County_-_Tap_Rock_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Lea County - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,32.53,-103.42,"https://www.gem.wiki/Lea_County_-_XTO_Oil_and_Gas_Asset_(New_Mexico,_United_States)"
Leeper (Glorieta) - Rocker A,United States,operating,,,Rocker A Operating Company,,,oil and gas,asset,33.408,-102.38,"https://www.gem.wiki/Leeper_(Glorieta)_-_Rocker_A_Oil_and_Gas_Asset_(Texas,_United_States)"
Levelland - Apache,United States,operating,,,Apache Co.,,,oil and gas,asset,33.589,-102.65,"https://www.gem.wiki/Levelland_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)"
Levelland - Occidental Permian,United States,operating,,,Occidental Permian,,,oil and gas,asset,33.584,-102.45,"https://www.gem.wiki/Levelland_-_Occidental_Permian_Oil_and_Gas_Asset_(Texas,_United_States)"
Levelland - Sabinal,United States,operating,,,Sabinal Energy Operating,,,oil and gas,asset,33.626,-102.56,"https://www.gem.wiki/Levelland_-_Sabinal_Oil_and_Gas_Asset_(Texas,_United_States)"
Levelland - Silver Creek Permian,United States,operating,,,Silver Creek Permian,,,oil and gas,asset,33.607,-102.96,"https://www.gem.wiki/Levelland_-_Silver_Creek_Permian_Oil_and_Gas_Asset_(Texas,_United_States)"
Levelland - Walsh Petroleum,United States,operating,,,Walsh Petroleum,,,oil and gas,asset,33.521,-102.81,"https://www.gem.wiki/Levelland_-_Walsh_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
Lightning (Tex-Miss Cons) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,28.672,-96.169,"https://www.gem.wiki/Lightning_(Tex-Miss_Cons)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Apache,United States,operating,,,Apache Co.,,,oil and gas,asset,31.234,-101.1,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Callon,United States,operating,,,Callon Petroleum,,,oil and gas,asset,31.3,-101.6,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Callon_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Discovery,United States,operating,,,Discovery Natural Resources,,,oil and gas,asset,31.372,-101.16,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Discovery_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - EP,United States,operating,,,EP Energy E&P Company,,,oil and gas,asset,30.959,-101.32,"https://www.gem.wiki/Lin_(Wolfcamp)_-_EP_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Endeavor,United States,operating,,,Endeavor Energy Resources,,,oil and gas,asset,31.083,-101.22,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Endeavor_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Foreland,United States,operating,,,Foreland Operating,,,oil and gas,asset,31.147,-101.13,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Foreland_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Hibernia,United States,operating,,,Hibernia Resources,,,oil and gas,asset,31.389,-101.7,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Hibernia_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Legacy Reserves,United States,operating,,,Legacy Reserves Operating,,,oil and gas,asset,31.169,-101.28,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Legacy_Reserves_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - SEM,United States,operating,,,SEM Operating Company,,,oil and gas,asset,31.165,-101.29,"https://www.gem.wiki/Lin_(Wolfcamp)_-_SEM_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Sable Permian,United States,operating,,,Sable Permian Resources,,,oil and gas,asset,31.211,-101.33,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Sable_Permian_Oil_and_Gas_Asset_(Texas,_United_States)"
Lin (Wolfcamp) - Triple Crown,United States,operating,,,Triple Crown Resources,,,oil and gas,asset,31.256,-101,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Triple_Crown_Oil_and_Gas_Asset_(Texas,_United_States)"
Lincoln Road - Breitburn,United States,operating,,,Breitburn Operating,,,oil and gas,asset,42.06,-110,"https://www.gem.wiki/Lincoln_Road_-_Breitburn_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Lindahl - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,48.58,-102.93,"https://www.gem.wiki/Lindahl_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Lindahl - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,48.538,-102.93,"https://www.gem.wiki/Lindahl_-_XTO_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
"Linden, East ( Cotton Valley) - Barrow-Shaver",United States,operating,,,Barrow-Shaver Resources,,,oil and gas,asset,32.947,-94.602,"https://www.gem.wiki/Linden,_East_(_Cotton_Valley)_-_Barrow-Shaver_Oil_and_Gas_Asset_(Texas,_United_States)"
"Linden, East ( Cotton Valley) - Stetson Petroleum",United States,operating,,,Stetson Petroleum Corp.,,,oil and gas,asset,32.977,-94.268,"https://www.gem.wiki/Linden,_East_(_Cotton_Valley)_-_Stetson_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
Linker (Clear Fork) - CHI,United States,operating,,,CHI Operating,,,oil and gas,asset,33.588,-102.34,"https://www.gem.wiki/Linker_(Clear_Fork)_-_CHI_Oil_and_Gas_Asset_(Texas,_United_States)"
Linker (Clear Fork) - Great Western,United States,operating,,,Great Western Operating Co.,,,oil and gas,asset,33.539,-102.38,"https://www.gem.wiki/Linker_(Clear_Fork)_-_Great_Western_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - 4P Energy,United States,operating,,,4P Energy,,,oil and gas,asset,36.096,-100.29,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_4P_Energy_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - BP,United States,operating,,,BP,,,oil and gas,asset,36.272,-100.29,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_BP_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Duncan,United States,operating,,,Duncan Oil Properties,,,oil and gas,asset,36.182,-100.01,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Duncan_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - EOG,United States,operating,,,EOG Resources,,,oil and gas,asset,36.209,-100.19,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_EOG_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Jones,United States,operating,,,Jones Energy,,,oil and gas,asset,36.218,-100.11,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Jones_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Mewbourne,United States,operating,,,Mewbourne Oil Company,,,oil and gas,asset,36.269,-100.15,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Mewbourne_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Presidio Petroleum,United States,operating,,,Presidio Petroleum,,,oil and gas,asset,36.161,-100.36,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Presidio_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Remora,United States,operating,,,Remora Operating,,,oil and gas,asset,36.352,-100.21,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Remora_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - Strat Land,United States,operating,,,Strat Land Exploration Company,,,oil and gas,asset,36.242,-100.14,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_Strat_Land_Oil_and_Gas_Asset_(Texas,_United_States)"
Lipscomb (Cleveland) - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,36.274,-100.11,"https://www.gem.wiki/Lipscomb_(Cleveland)_-_XTO_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, S.E. (Cleveland) - Jones",United States,operating,,,Jones Energy,,,oil and gas,asset,35.958,-100.23,"https://www.gem.wiki/Lipscomb,_S.E._(Cleveland)_-_Jones_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, S.E. (Cleveland) - Tecolote",United States,operating,,,Tecolote Energy,,,oil and gas,asset,35.89,-100.24,"https://www.gem.wiki/Lipscomb,_S.E._(Cleveland)_-_Tecolote_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - 4P Energy",United States,operating,,,4P Energy,,,oil and gas,asset,36.085,-100.41,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_4P_Energy_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - Apache",United States,operating,,,Apache Co.,,,oil and gas,asset,36.05,-100.29,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - Le Norman",United States,operating,,,Le Norman Operating,,,oil and gas,asset,36.003,-100.35,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_Le_Norman_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - Mewbourne",United States,operating,,,Mewbourne Oil Company,,,oil and gas,asset,36.098,-100.31,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_Mewbourne_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - Presidio Petroleum",United States,operating,,,Presidio Petroleum,,,oil and gas,asset,36.061,-100.27,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_Presidio_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
"Lipscomb, SE (Cleveland) - Templar",United States,operating,,,Templar Operating,,,oil and gas,asset,35.618,-100.31,"https://www.gem.wiki/Lipscomb,_SE_(Cleveland)_-_Templar_Oil_and_Gas_Asset_(Texas,_United_States)"
Little Buffalo Basin - Citation,United States,operating,,,Citation Oil & Gas Corporation,,,oil and gas,asset,44.063,-108.81,"https://www.gem.wiki/Little_Buffalo_Basin_-_Citation_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Little Knife - Burlington,United States,operating,,,Burlington Resources,,,oil and gas,asset,47.523,-103,"https://www.gem.wiki/Little_Knife_-_Burlington_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Little Knife - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,47.417,-103,"https://www.gem.wiki/Little_Knife_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Little Knife - Hess Bakken,United States,operating,,,Hess Bakken Investments,,,oil and gas,asset,47.47,-103.02,"https://www.gem.wiki/Little_Knife_-_Hess_Bakken_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Little Knife - Lime Rock,United States,operating,,,Lime Rock Resources,,,oil and gas,asset,47.231,-103.04,"https://www.gem.wiki/Little_Knife_-_Lime_Rock_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Little Knife - Petro-Hunt,United States,operating,,,Petro-Hunt,,,oil and gas,asset,47.336,-103.07,"https://www.gem.wiki/Little_Knife_-_Petro-Hunt_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Little Monument - Mustang,United States,operating,,,Mustang Resources,,,oil and gas,asset,42.125,-110.03,"https://www.gem.wiki/Little_Monument_-_Mustang_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Little Thunder - True,United States,operating,,,True Oil,,,oil and gas,asset,43.666,-105.38,"https://www.gem.wiki/Little_Thunder_-_True_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Liz (9200) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,27.327,-99.341,"https://www.gem.wiki/Liz_(9200)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Llano (GB387) - Shell,United States,operating,,,Shell,,,oil and gas,asset,27.608,-92.293,"https://www.gem.wiki/Llano_(GB387)_-_Shell_Oil_and_Gas_Asset_(Federal_offshore,_United_States)"
Llano (GB387) - Shell Offshore,United States,operating,,,Shell Offshore,,,oil and gas,asset,27.651,-92.318,"https://www.gem.wiki/Llano_(GB387)_-_Shell_Offshore_Oil_and_Gas_Asset_(Federal_offshore,_United_States)"
Lobster/Oyster (EW873) - Enven,United States,operating,,,Enven Energy Ventures,,,oil and gas,asset,28.089,-90.186,"https://www.gem.wiki/LobsterOyster_(EW873)_-_Enven_Oil_and_Gas_Asset_(Federal_offshore,_United_States)"
Lockhart Crossing - TMR,United States,operating,,,TMR Exploration,,,oil and gas,asset,30.526,-90.908,"https://www.gem.wiki/Lockhart_Crossing_-_TMR_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lockridge (Ellenburger 18600) - Chevron,United States,operating,,,Chevron,,,oil and gas,asset,31.411,-103.18,"https://www.gem.wiki/Lockridge_(Ellenburger_18600)_-_Chevron_Oil_and_Gas_Asset_(Texas,_United_States)"
Lockridge (Ellenburger 18600) - Occidental Permian,United States,operating,,,Occidental Permian,,,oil and gas,asset,31.407,-103.16,"https://www.gem.wiki/Lockridge_(Ellenburger_18600)_-_Occidental_Permian_Oil_and_Gas_Asset_(Texas,_United_States)"
Logan County - Diversified,United States,operating,,,Diversified Production,,,oil and gas,asset,37.816,-81.957,"https://www.gem.wiki/Logan_County_-_Diversified_Oil_and_Gas_Asset_(West_Virginia,_United_States)"
Logansport - Brix,United States,operating,,,Brix Operating,,,gas,asset,31.932,-93.926,"https://www.gem.wiki/Logansport_-_Brix_Gas_Asset_(Louisiana,_United_States)"
Logansport - Brookston,United States,operating,,,Brookston Energy,,,gas,asset,31.981,-93.995,"https://www.gem.wiki/Logansport_-_Brookston_Gas_Asset_(Louisiana,_United_States)"
Logansport - Comstock,United States,operating,,,Comstock Oil & Gas,,,oil and gas,asset,32.019,-94.006,"https://www.gem.wiki/Logansport_-_Comstock_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Logansport - Ensight IV,United States,operating,,,Ensight IV Energy,,,oil and gas,asset,31.988,-93.957,"https://www.gem.wiki/Logansport_-_Ensight_IV_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Logansport - Indigo Minerals,United States,operating,,,Indigo Minerals,,,oil and gas,asset,32.058,-93.963,"https://www.gem.wiki/Logansport_-_Indigo_Minerals_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Lompoc - Sentinel Peak,United States,operating,,,Sentinel Peak Resources California,,,oil and gas,asset,34.73,-120.44,"https://www.gem.wiki/Lompoc_-_Sentinel_Peak_Oil_and_Gas_Asset_(California,_United_States)"
Lone Butte - Sinclair,United States,operating,,,Sinclair Oil & Gas Company,,,oil and gas,asset,47.539,-103.14,"https://www.gem.wiki/Lone_Butte_-_Sinclair_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Lone Tree Lake - Bruin,United States,operating,,,Bruin E&P Operating,,,oil and gas,asset,48.455,-103.45,"https://www.gem.wiki/Lone_Tree_Lake_-_Bruin_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Lone Tree Lake - Crescent Point,United States,operating,,,Crescent Point Energy,,,oil and gas,asset,48.408,-103.51,"https://www.gem.wiki/Lone_Tree_Lake_-_Crescent_Point_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Lone Tree Lake - Kraken,United States,operating,,,Kraken Operating,,,oil and gas,asset,48.394,-103.45,"https://www.gem.wiki/Lone_Tree_Lake_-_Kraken_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
