project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Olomoro-Oleh,Nigeria,operating,1962.0,1963,,,,oil,complex,5.463,6.174,https://www.gem.wiki/Olomoro-Oleh_Oil_Complex_(Nigeria)
Opkushi North,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Opkushi_North_Oil_and_Gas_Field_(Nigeria)
Opuama,Nigeria,operating,1972.0,1975,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company (55%);Eland Oil & Gas (45%),Nigerian National Petroleum Corporation (55%);Seplat Petroleum (45%),oil,field,5.9596,5.0682,https://www.gem.wiki/Opuama_Oil_Field_(Nigeria)
Opukushi,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,Shell;Nigerian National Petroleum Corporation,Shell plc;Nigerian National Petroleum Corporation,oil and gas,field,4.9159,5.7643,https://www.gem.wiki/Opukushi_Oil_and_Gas_Field_(Nigeria)
Oredo (NDPC),Nigeria,operating,,1996,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company,Nigerian National Petroleum Corporation,oil and gas,field,6.075,5.585,https://www.gem.wiki/Oredo_(NDPC)_Oil_and_Gas_Field_(Nigeria)
Oron West,Nigeria,operating,,,Addax,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Oron_West_Oil_and_Gas_Field_(Nigeria)
Oroni,Nigeria,operating,1965.0,1970,,Shoreline Natural Resources Limited (45%);Nigerian Petroleum Development Company (55%),Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%);Nigerian National Petroleum Corporation (55%),oil,field,5.368,6.148,https://www.gem.wiki/Oroni_Oil_Field_(Nigeria)
Oshi,Nigeria,operating,,,Nigerian Agip Oil Company,Nigerian Agip Oil Company (20%);Oando Energy Resources (20%);Shell Petroleum Development Company of Nigeria;Nigerian National Petroleum Corporation,Eni (20%);Oando Energy Resources (20%);Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (11%);Shell plc (6%);TotalEnergies (2%);Eni (1%);Nigerian National Petroleum Corporation (20%),oil and gas,field,5.098,6.467,https://www.gem.wiki/Oshi_Oil_and_Gas_Field_(Nigeria)
Oso,Nigeria,operating,1967.0,1992,Seplat Petroleum,Seplat Petroleum (40%);Nigerian National Petroleum Corporation (60%),Seplat Petroleum (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,4.291,7.617,https://www.gem.wiki/Oso_Oil_and_Gas_Field_(Nigeria)
Ossu,Nigeria,operating,1974.0,,Addax,,,oil and gas,field,5.625,6.766,https://www.gem.wiki/Ossu_Oil_and_Gas_Field_(Nigeria)
Otakikpo,Nigeria,operating,1980.0,2017,Green Energy International Limited,Green Energy International Limited (60%);Lekoil Oil and Gas (40%),Green Energy International Limited (60%);Lekoil (40%),oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Otakikpo_Oil_and_Gas_Field_(Nigeria)
